"stringency_index","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","population","stringency_index:population_density","stringency_index:median_age","stringency_index:aged_65_older","stringency_index:aged_70_older","stringency_index:gdp_per_capita","stringency_index:extreme_poverty","stringency_index:cardiovasc_death_rate","stringency_index:diabetes_prevalence","stringency_index:female_smokers","stringency_index:male_smokers","stringency_index:handwashing_facilities","stringency_index:hospital_beds_per_thousand","stringency_index:life_expectancy","stringency_index:human_development_index","stringency_index:population","population_density:median_age","population_density:aged_65_older","population_density:aged_70_older","population_density:gdp_per_capita","population_density:extreme_poverty","population_density:cardiovasc_death_rate","population_density:diabetes_prevalence","population_density:female_smokers","population_density:male_smokers","population_density:handwashing_facilities","population_density:hospital_beds_per_thousand","population_density:life_expectancy","population_density:human_development_index","population_density:population","median_age:aged_65_older","median_age:aged_70_older","median_age:gdp_per_capita","median_age:extreme_poverty","median_age:cardiovasc_death_rate","median_age:diabetes_prevalence","median_age:female_smokers","median_age:male_smokers","median_age:handwashing_facilities","median_age:hospital_beds_per_thousand","median_age:life_expectancy","median_age:human_development_index","median_age:population","aged_65_older:aged_70_older","aged_65_older:gdp_per_capita","aged_65_older:extreme_poverty","aged_65_older:cardiovasc_death_rate","aged_65_older:diabetes_prevalence","aged_65_older:female_smokers","aged_65_older:male_smokers","aged_65_older:handwashing_facilities","aged_65_older:hospital_beds_per_thousand","aged_65_older:life_expectancy","aged_65_older:human_development_index","aged_65_older:population","aged_70_older:gdp_per_capita","aged_70_older:extreme_poverty","aged_70_older:cardiovasc_death_rate","aged_70_older:diabetes_prevalence","aged_70_older:female_smokers","aged_70_older:male_smokers","aged_70_older:handwashing_facilities","aged_70_older:hospital_beds_per_thousand","aged_70_older:life_expectancy","aged_70_older:human_development_index","aged_70_older:population","gdp_per_capita:extreme_poverty","gdp_per_capita:cardiovasc_death_rate","gdp_per_capita:diabetes_prevalence","gdp_per_capita:female_smokers","gdp_per_capita:male_smokers","gdp_per_capita:handwashing_facilities","gdp_per_capita:hospital_beds_per_thousand","gdp_per_capita:life_expectancy","gdp_per_capita:human_development_index","gdp_per_capita:population","extreme_poverty:cardiovasc_death_rate","extreme_poverty:diabetes_prevalence","extreme_poverty:female_smokers","extreme_poverty:male_smokers","extreme_poverty:handwashing_facilities","extreme_poverty:hospital_beds_per_thousand","extreme_poverty:life_expectancy","extreme_poverty:human_development_index","extreme_poverty:population","cardiovasc_death_rate:diabetes_prevalence","cardiovasc_death_rate:female_smokers","cardiovasc_death_rate:male_smokers","cardiovasc_death_rate:handwashing_facilities","cardiovasc_death_rate:hospital_beds_per_thousand","cardiovasc_death_rate:life_expectancy","cardiovasc_death_rate:human_development_index","cardiovasc_death_rate:population","diabetes_prevalence:female_smokers","diabetes_prevalence:male_smokers","diabetes_prevalence:handwashing_facilities","diabetes_prevalence:hospital_beds_per_thousand","diabetes_prevalence:life_expectancy","diabetes_prevalence:human_development_index","diabetes_prevalence:population","female_smokers:male_smokers","female_smokers:handwashing_facilities","female_smokers:hospital_beds_per_thousand","female_smokers:life_expectancy","female_smokers:human_development_index","female_smokers:population","male_smokers:handwashing_facilities","male_smokers:hospital_beds_per_thousand","male_smokers:life_expectancy","male_smokers:human_development_index","male_smokers:population","handwashing_facilities:hospital_beds_per_thousand","handwashing_facilities:life_expectancy","handwashing_facilities:human_development_index","handwashing_facilities:population","hospital_beds_per_thousand:life_expectancy","hospital_beds_per_thousand:human_development_index","hospital_beds_per_thousand:population","life_expectancy:human_development_index","life_expectancy:population","human_development_index:population","location","iso_code","total_cases.y","continent_Africa","continent_Asia","continent_Europe","continent_North_America","continent_Oceania","continent_South_America"
27,54,18,2,1,1803,2,597,9,6,32,37,0,64,0,41128772,1511,516,71,37,50114,69,16585,266,173,895,1048,13,1800,14,1142557286,1012,140,72,98176,136,32491,521,340,1755,2054,27,3528,27,NA,48,24,33554,46,11104,178,116,599,702,9,1205,9,764995159,3,4656,6,1540,24,16,83,97,1,167,1,106153360,2411,3,798,12,8,43,50,0,86,0,54989168,4509,1077032,17300,11274,58178,68093,901,116952,921,NA,1492,23,15,80,94,1,162,1,102821930,5725,3731,19254,22535,298,38705,305,NA,59,309,361,4,621,4,394424923,201,235,3,405,3,257054825,1217,16,2090,16,1326402897,18,2447,19,1552446627,32,0,20564386,33,NA,21016802,"Afghanistan","AFG",235214,0,1,0,0,0,0
81,104,38,13,8,11803,1,304,10,7,51,48,2,78,0,2842318,8544,3096,1074,704,961743,89,24785,821,578,4171,3972,235,6401,64,231592070,3985,1383,906,1237837,115,31901,1057,744,5369,5112,303,8239,83,298076730,501,328,448530,41,11559,383,269,1945,1852,109,2985,30,108008084,113,155663,14,4011,132,93,675,642,38,1036,10,37484489,102017,9,2629,87,61,442,421,24,679,6,24566154,12983,3590544,118978,83804,604335,575452,34111,927395,9383,NA,334,11,7,56,53,3,86,0,3126549,3066,2159,15574,14830,879,23900,241,864618924,71,516,491,29,791,8,28650565,363,346,20,557,5,20180457,2496,147,4022,40,145526681,140,3830,38,138571529,227,2,8214299,62,223320925,2259642,"Albania","ALB",335047,0,0,1,0,0,0
0,17,29,6,3,13913,0,278,6,0,30,83,1,76,0,44903228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,107,66,241377,8,4829,116,12,527,1452,32,1333,12,778981199,180,112,404892,14,8100,195,20,884,2436,55,2237,21,1306683934,23,86418,3,1728,41,4,188,520,11,477,4,278893949,53665,1,1073,25,2,117,322,7,296,2,173191750,6956,3873111,93640,9739,422980,1165158,26436,1069695,10407,NA,139,3,0,15,41,0,38,0,22451614,1873,194,8462,23310,528,21400,208,NA,4,204,563,12,517,5,302198724,21,58,1,53,0,31432259,2545,57,2337,22,1365058131,159,6438,62,NA,146,1,85316133,57,NA,33587614,"Algeria","DZA",272139,1,0,0,0,0,0
90,23,16,2,1,5819,2,276,3,6,32,26,2,61,0,35588996,2167,1524,218,123,528060,226,25048,357,567,2926,2419,208,5548,52,NA,401,57,32,139027,59,6594,94,149,770,637,54,1460,13,850221114,40,22,97767,42,4637,66,105,541,447,38,1027,9,597895132,3,13995,6,663,9,15,77,64,5,147,1,85591535,7926,3,375,5,8,43,36,3,83,0,48472212,14548,1606442,22928,36371,187678,155171,13384,355862,3381,NA,690,9,15,80,66,5,152,1,88972490,1087,1725,8902,7360,634,16880,160,NA,24,127,105,9,240,2,140220644,201,166,14,382,3,222431225,859,74,1972,18,1147745121,61,1630,15,948944989,140,1,81854690,35,NA,20677206,"Angola","AGO",107481,1,0,0,0,0,0
11,16,31,11,7,18933,0,191,5,16,27,48,5,76,0,45510324,179,354,124,82,210355,6,2122,61,179,307,541,55,851,9,505619699,516,181,120,306293,9,3090,88,262,448,788,80,1240,13,736220511,357,237,603991,19,6093,175,516,883,1555,159,2445,26,1451779335,83,212021,6,2139,61,181,310,545,55,858,9,509624608,140887,4,1421,40,120,206,362,37,570,6,338642320,11360,3616982,104136,306729,524469,923084,94669,1451662,15999,NA,114,3,9,16,29,3,46,0,27306194,1050,3094,5291,9313,955,14646,161,NA,89,152,268,27,421,4,250306782,448,789,81,1242,13,737267248,1350,138,2123,23,1260635974,243,3737,41,NA,383,4,227551620,64,NA,38456223,"Argentina","ARG",10101218,0,0,0,0,0,1
19,102,35,11,7,8787,1,341,7,1,52,94,4,75,0,2780472,2000,694,218,147,170830,34,6629,138,29,1012,1828,81,1459,15,54052375,3674,1156,779,904514,185,35100,731,154,5362,9679,432,7729,79,286196763,400,270,313716,64,12174,253,53,1859,3357,149,2680,27,99262850,85,98702,20,3830,79,16,585,1056,47,843,8,31230261,66530,13,2581,53,11,394,711,31,568,5,21050953,15817,2996652,62479,13181,457832,826410,36907,659859,6819,NA,613,12,2,93,169,7,135,1,5004849,2424,511,17766,32069,1432,25606,264,948168756,10,370,668,29,533,5,19769155,78,141,6,112,1,4170708,4899,218,3912,40,144862591,394,7061,72,261483928,315,3,11677982,58,208785642,2157646,"Armenia","ARM",452273,0,1,0,0,0,0
5,3,37,15,10,44648,0,107,5,13,16,48,3,83,0,26177410,17,210,86,56,248246,2,599,28,72,91,271,21,463,5,145546399,121,49,32,142965,1,345,16,41,52,156,12,267,3,83820066,587,383,1692186,18,4085,192,492,625,1847,145,3162,35,992123839,157,692233,7,1671,78,201,255,755,59,1293,14,405854564,452246,5,1091,51,131,167,493,38,845,9,265150985,22324,4812729,226368,580433,736703,2176758,171451,3725488,42148,NA,53,2,6,8,24,1,41,0,13088705,546,1401,1778,5255,413,8994,101,NA,65,83,247,19,423,4,132719468,214,633,49,1084,12,340306330,804,63,1376,15,431927265,187,4067,46,1276227269,320,3,100521254,78,NA,24711475,"Australia","AUS",11861161,0,0,0,0,1,0
11,106,44,19,13,45436,0,145,6,28,30,48,7,81,0,8939617,1185,493,213,152,504801,7,1612,70,315,343,541,81,905,10,99319144,4739,2049,1467,4850320,74,15498,677,3031,3298,5204,786,8704,98,954295175,852,610,2017388,31,6446,281,1260,1371,2164,327,3620,40,396918994,263,872475,13,2787,121,545,593,936,141,1565,17,171658525,624663,9,1995,87,390,424,670,101,1121,12,122901854,31805,6596634,288522,1290401,1403993,2215174,334868,3704907,41892,NA,101,4,19,21,34,5,57,0,6257731,921,4123,4486,7078,1069,11838,133,1297880414,180,196,309,46,517,5,56766567,877,1384,209,2315,26,253885122,1506,227,2519,28,276234165,359,3975,44,435833147,600,6,65884977,75,728936370,8242326,"Austria","AUT",6082444,0,0,1,0,0,0
19,119,32,6,3,15847,2,559,7,0,42,83,4,73,0,10358078,2319,629,116,75,308073,48,10882,138,5,826,1618,91,1419,14,201361036,3865,718,461,1890739,298,66790,848,35,5070,9931,560,8709,90,1235811928,194,125,513456,81,18137,230,9,1377,2697,152,2365,24,335601727,23,95369,15,3368,42,1,255,500,28,439,4,62334913,61345,9,2167,27,1,164,322,18,282,2,40096119,39618,8871575,112675,4754,673515,1319155,74482,1156861,11980,NA,1399,17,0,106,208,11,182,1,25895195,3980,167,23792,46599,2631,40866,423,NA,2,302,591,33,519,5,73645934,12,24,1,21,0,3107423,3537,199,3102,32,440218315,391,6076,62,862216770,343,3,48682966,55,756139694,7830706,"Azerbaijan","AZE",835757,0,1,0,0,0,0
82,39,34,8,5,27717,2,235,13,3,20,48,2,73,0,409989,3254,2826,741,428,2284227,206,19444,1085,255,1681,4017,238,6091,67,33787193,1354,355,205,1094771,98,9319,520,122,805,1925,114,2919,32,16193335,308,178,950722,85,8093,451,106,699,1672,99,2535,27,14062622,46,249349,22,2122,118,27,183,438,26,664,7,3688261,144132,13,1226,68,16,106,253,15,384,4,2131942,69294,6540136,365044,85925,565444,1351328,80381,2048903,22562,NA,589,32,7,51,121,7,184,2,1024972,3107,731,4813,11503,684,17441,192,96738544,40,268,642,38,973,10,5399555,63,151,8,229,2,1270965,994,59,1507,16,8363775,141,3603,39,19988193,214,2,1188968,60,30306386,333731,"Bahamas","BHS",39127,0,0,0,1,0,0
